   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  -5.000  -0.0848   0.00803   0.00243  -0.1028   0.7525   0.0695
  -4.000   0.0274   0.00770   0.00202  -0.1026   0.7091   0.0902
  -3.500   0.0835   0.00756   0.00186  -0.1025   0.6863   0.1053
  -3.000   0.1393   0.00745   0.00174  -0.1024   0.6622   0.1230
  -2.500   0.1953   0.00738   0.00164  -0.1023   0.6392   0.1434
  -2.000   0.2513   0.00730   0.00157  -0.1023   0.6157   0.1687
  -1.500   0.3071   0.00725   0.00153  -0.1022   0.5927   0.1981
  -0.500   0.4186   0.00721   0.00154  -0.1020   0.5505   0.2710
   0.000   0.4745   0.00719   0.00158  -0.1020   0.5321   0.3173
   0.500   0.5299   0.00712   0.00163  -0.1019   0.5151   0.3838
   1.000   0.5843   0.00687   0.00172  -0.1018   0.5000   0.5303
   1.500   0.6388   0.00666   0.00185  -0.1016   0.4871   0.6650
   2.000   0.6920   0.00650   0.00200  -0.1010   0.4750   0.7929
   2.500   0.7404   0.00641   0.00221  -0.0990   0.4626   0.9201
   3.000   0.8027   0.00653   0.00236  -0.1001   0.4523   0.9841
   3.500   0.8784   0.00676   0.00253  -0.1046   0.4405   0.9993
   4.500   0.9806   0.00717   0.00284  -0.1026   0.4180   1.0000
   5.000   1.0322   0.00740   0.00302  -0.1018   0.4052   1.0000
   5.500   1.0838   0.00767   0.00324  -0.1010   0.3898   1.0000
   6.000   1.1349   0.00799   0.00348  -0.1002   0.3715   1.0000
   6.500   1.1849   0.00837   0.00378  -0.0992   0.3505   1.0000
   7.000   1.2330   0.00885   0.00414  -0.0979   0.3272   1.0000
   7.500   1.2805   0.00934   0.00454  -0.0966   0.3027   1.0000
   8.000   1.3250   0.00996   0.00503  -0.0947   0.2756   1.0000
   8.500   1.3660   0.01069   0.00561  -0.0923   0.2461   1.0000
   9.000   1.4012   0.01152   0.00629  -0.0888   0.2155   1.0000
   9.500   1.4343   0.01249   0.00710  -0.0851   0.1851   1.0000
  10.000   1.4650   0.01361   0.00807  -0.0812   0.1557   1.0000
  10.500   1.4934   0.01488   0.00920  -0.0773   0.1296   1.0000
  11.000   1.5195   0.01631   0.01052  -0.0732   0.1075   1.0000
  11.500   1.5456   0.01782   0.01196  -0.0695   0.0905   1.0000
  12.000   1.5690   0.01956   0.01365  -0.0657   0.0765   1.0000
  12.500   1.5926   0.02139   0.01547  -0.0624   0.0663   1.0000
  13.000   1.6135   0.02353   0.01760  -0.0591   0.0578   1.0000
  13.500   1.6330   0.02588   0.01998  -0.0560   0.0513   1.0000
  14.000   1.6498   0.02859   0.02273  -0.0532   0.0460   1.0000
  14.500   1.6635   0.03172   0.02590  -0.0505   0.0415   1.0000
  15.000   1.6762   0.03514   0.02939  -0.0483   0.0380   1.0000
  15.500   1.6870   0.03895   0.03329  -0.0464   0.0352   1.0000
  16.000   1.6919   0.04355   0.03796  -0.0447   0.0325   1.0000
  16.500   1.6990   0.04811   0.04264  -0.0436   0.0307   1.0000
  17.000   1.6982   0.05369   0.04832  -0.0426   0.0286   1.0000
  17.500   1.6982   0.05940   0.05416  -0.0421   0.0273   1.0000
  18.000   1.6941   0.06570   0.06059  -0.0419   0.0260   1.0000
  18.500   1.6834   0.07300   0.06801  -0.0421   0.0246   1.0000
  19.000   1.6770   0.07985   0.07501  -0.0426   0.0237   1.0000
  19.500   1.6674   0.08727   0.08257  -0.0435   0.0228   1.0000
  20.000   1.6533   0.09536   0.09079  -0.0447   0.0218   1.0000
  20.500   1.6357   0.10412   0.09970  -0.0465   0.0209   1.0000
  21.000   1.6258   0.11192   0.10765  -0.0485   0.0203   1.0000
  21.500   1.6136   0.12009   0.11597  -0.0509   0.0196   1.0000
  22.000   1.6002   0.12863   0.12463  -0.0539   0.0190   1.0000
  22.500   1.5809   0.13827   0.13442  -0.0579   0.0183   1.0000
  23.000   1.5674   0.14710   0.14340  -0.0620   0.0177   1.0000
  23.500   1.5597   0.15512   0.15156  -0.0662   0.0173   1.0000
  24.000   1.5508   0.16350   0.16007  -0.0709   0.0167   1.0000
  24.500   1.5392   0.17240   0.16910  -0.0764   0.0162   1.0000
  25.000   1.5236   0.18224   0.17906  -0.0828   0.0156   1.0000
