   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  -4.500  -0.0301   0.00745   0.00198  -0.1024   0.7055   0.0730
  -4.000   0.0262   0.00731   0.00181  -0.1024   0.6824   0.0842
  -3.500   0.0824   0.00720   0.00168  -0.1023   0.6587   0.0976
  -3.000   0.1390   0.00711   0.00157  -0.1024   0.6361   0.1125
  -2.500   0.1954   0.00703   0.00148  -0.1024   0.6125   0.1326
  -2.000   0.2516   0.00700   0.00143  -0.1023   0.5891   0.1542
  -1.500   0.3080   0.00695   0.00139  -0.1024   0.5677   0.1813
  -1.000   0.3645   0.00692   0.00138  -0.1024   0.5478   0.2110
  -0.500   0.4209   0.00690   0.00139  -0.1025   0.5292   0.2460
   0.000   0.4772   0.00687   0.00143  -0.1025   0.5121   0.2878
   1.000   0.5891   0.00675   0.00155  -0.1026   0.4825   0.4192
   1.500   0.6443   0.00649   0.00165  -0.1026   0.4712   0.5721
   2.000   0.6992   0.00635   0.00178  -0.1025   0.4597   0.6910
   2.500   0.7528   0.00622   0.00194  -0.1019   0.4482   0.8134
   3.000   0.8023   0.00610   0.00212  -0.1003   0.4390   0.9349
   3.500   0.8638   0.00628   0.00229  -0.1013   0.4270   0.9874
   4.000   0.9375   0.00650   0.00246  -0.1053   0.4153   1.0000
   4.500   0.9878   0.00668   0.00260  -0.1042   0.4037   1.0000
   5.000   1.0390   0.00692   0.00277  -0.1033   0.3889   1.0000
   5.500   1.0904   0.00721   0.00298  -0.1024   0.3711   1.0000
   6.000   1.1411   0.00756   0.00324  -0.1015   0.3503   1.0000
   6.500   1.1906   0.00798   0.00355  -0.1005   0.3270   1.0000
   7.000   1.2397   0.00843   0.00389  -0.0994   0.3031   1.0000
   7.500   1.2864   0.00899   0.00431  -0.0979   0.2762   1.0000
   8.000   1.3308   0.00964   0.00482  -0.0960   0.2469   1.0000
   8.500   1.3722   0.01038   0.00540  -0.0937   0.2161   1.0000
   9.000   1.4082   0.01121   0.00607  -0.0903   0.1856   1.0000
   9.500   1.4412   0.01215   0.00686  -0.0865   0.1569   1.0000
  10.000   1.4725   0.01321   0.00777  -0.0827   0.1306   1.0000
  10.500   1.5018   0.01441   0.00884  -0.0788   0.1076   1.0000
  11.000   1.5316   0.01562   0.00998  -0.0752   0.0907   1.0000
  11.500   1.5589   0.01701   0.01130  -0.0715   0.0762   1.0000
  12.000   1.5862   0.01847   0.01273  -0.0681   0.0658   1.0000
  12.500   1.6110   0.02018   0.01441  -0.0647   0.0569   1.0000
  13.000   1.6347   0.02204   0.01628  -0.0615   0.0502   1.0000
  13.500   1.6570   0.02412   0.01838  -0.0585   0.0449   1.0000
  14.000   1.6760   0.02654   0.02083  -0.0555   0.0403   1.0000
  14.500   1.6927   0.02930   0.02363  -0.0528   0.0365   1.0000
  15.000   1.7081   0.03232   0.02672  -0.0504   0.0337   1.0000
  15.500   1.7212   0.03577   0.03024  -0.0483   0.0312   1.0000
  16.000   1.7300   0.03977   0.03430  -0.0464   0.0288   1.0000
  16.500   1.7383   0.04404   0.03868  -0.0450   0.0272   1.0000
  17.000   1.7420   0.04896   0.04368  -0.0438   0.0256   1.0000
  17.500   1.7420   0.05446   0.04930  -0.0429   0.0241   1.0000
  18.000   1.7430   0.06000   0.05496  -0.0424   0.0231   1.0000
  18.500   1.7366   0.06654   0.06161  -0.0422   0.0219   1.0000
  19.000   1.7272   0.07363   0.06883  -0.0425   0.0209   1.0000
  19.500   1.7211   0.08036   0.07570  -0.0429   0.0202   1.0000
  20.000   1.7101   0.08790   0.08337  -0.0438   0.0194   1.0000
  20.500   1.6954   0.09597   0.09157  -0.0451   0.0186   1.0000
  21.000   1.6784   0.10455   0.10029  -0.0469   0.0179   1.0000
  21.500   1.6672   0.11243   0.10832  -0.0489   0.0175   1.0000
  22.000   1.6551   0.12049   0.11652  -0.0513   0.0170   1.0000
  22.500   1.6422   0.12881   0.12497  -0.0542   0.0164   1.0000
  23.000   1.6260   0.13779   0.13408  -0.0579   0.0158   1.0000
  23.500   1.6068   0.14741   0.14384  -0.0624   0.0152   1.0000
  24.000   1.5990   0.15533   0.15189  -0.0665   0.0149   1.0000
  24.500   1.5901   0.16354   0.16023  -0.0712   0.0145   1.0000
