   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  -5.000  -0.0903   0.00682   0.00176  -0.1019   0.6607   0.0550
  -4.000   0.0243   0.00660   0.00148  -0.1022   0.6159   0.0707
  -3.500   0.0815   0.00654   0.00138  -0.1023   0.5924   0.0802
  -3.000   0.1386   0.00649   0.00130  -0.1024   0.5695   0.0925
  -2.500   0.1959   0.00642   0.00123  -0.1026   0.5494   0.1085
  -2.000   0.2533   0.00637   0.00118  -0.1028   0.5303   0.1252
  -1.500   0.3107   0.00633   0.00115  -0.1030   0.5125   0.1465
  -1.000   0.3680   0.00631   0.00114  -0.1032   0.4960   0.1699
  -0.500   0.4252   0.00629   0.00115  -0.1034   0.4803   0.1978
   0.000   0.4828   0.00626   0.00117  -0.1037   0.4691   0.2281
   0.500   0.5403   0.00623   0.00121  -0.1040   0.4578   0.2629
   1.000   0.5973   0.00623   0.00126  -0.1042   0.4451   0.3050
   1.500   0.6548   0.00618   0.00132  -0.1045   0.4370   0.3571
   2.500   0.7673   0.00591   0.00152  -0.1048   0.4170   0.5829
   3.000   0.8235   0.00583   0.00165  -0.1050   0.4071   0.6810
   3.500   0.8784   0.00579   0.00181  -0.1048   0.3931   0.7879
   4.000   0.9312   0.00575   0.00199  -0.1041   0.3782   0.8993
   4.500   0.9806   0.00586   0.00219  -0.1026   0.3609   0.9801
   5.000   1.0472   0.00615   0.00239  -0.1051   0.3407   0.9985
   5.500   1.1004   0.00651   0.00263  -0.1047   0.3173   1.0000
   6.000   1.1507   0.00690   0.00290  -0.1037   0.2927   1.0000
   6.500   1.1999   0.00738   0.00323  -0.1026   0.2651   1.0000
   7.000   1.2486   0.00788   0.00359  -0.1015   0.2377   1.0000
   7.500   1.2956   0.00847   0.00402  -0.1000   0.2083   1.0000
   8.000   1.3403   0.00915   0.00453  -0.0982   0.1777   1.0000
   8.500   1.3831   0.00988   0.00509  -0.0961   0.1491   1.0000
   9.000   1.4232   0.01065   0.00572  -0.0935   0.1231   1.0000
   9.500   1.4586   0.01142   0.00637  -0.0900   0.1024   1.0000
  10.000   1.4933   0.01225   0.00710  -0.0866   0.0855   1.0000
  10.500   1.5272   0.01315   0.00792  -0.0832   0.0717   1.0000
  11.000   1.5606   0.01411   0.00882  -0.0799   0.0607   1.0000
  11.500   1.5936   0.01512   0.00979  -0.0768   0.0527   1.0000
  12.000   1.6252   0.01623   0.01088  -0.0737   0.0464   1.0000
  12.500   1.6551   0.01750   0.01213  -0.0705   0.0410   1.0000
  13.000   1.6832   0.01893   0.01357  -0.0674   0.0364   1.0000
  13.500   1.7095   0.02054   0.01518  -0.0644   0.0328   1.0000
  14.000   1.7352   0.02230   0.01697  -0.0615   0.0302   1.0000
  14.500   1.7570   0.02439   0.01909  -0.0586   0.0275   1.0000
  15.000   1.7771   0.02674   0.02147  -0.0559   0.0254   1.0000
  15.500   1.7953   0.02938   0.02416  -0.0534   0.0238   1.0000
  16.000   1.8108   0.03239   0.02722  -0.0511   0.0222   1.0000
  16.500   1.8231   0.03589   0.03079  -0.0491   0.0207   1.0000
  17.000   1.8347   0.03958   0.03455  -0.0473   0.0197   1.0000
  17.500   1.8395   0.04415   0.03919  -0.0458   0.0184   1.0000
  18.000   1.8448   0.04882   0.04396  -0.0446   0.0176   1.0000
  18.500   1.8479   0.05386   0.04909  -0.0437   0.0170   1.0000
  19.000   1.8440   0.05984   0.05517  -0.0432   0.0162   1.0000
  19.500   1.8350   0.06654   0.06198  -0.0429   0.0152   1.0000
  20.000   1.8319   0.07267   0.06822  -0.0430   0.0149   1.0000
  20.500   1.8215   0.07978   0.07545  -0.0434   0.0145   1.0000
  21.000   1.8105   0.08707   0.08287  -0.0442   0.0140   1.0000
  21.500   1.7926   0.09537   0.09129  -0.0454   0.0134   1.0000
  22.000   1.7758   0.10365   0.09968  -0.0470   0.0127   1.0000
  22.500   1.7652   0.11117   0.10733  -0.0489   0.0126   1.0000
  23.000   1.7519   0.11913   0.11541  -0.0512   0.0123   1.0000
  23.500   1.7362   0.12760   0.12401  -0.0542   0.0120   1.0000
  24.000   1.7221   0.13592   0.13245  -0.0575   0.0116   1.0000
  25.000   1.6920   0.15319   0.14994  -0.0659   0.0107   1.0000
