   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  -5.000  -0.0837   0.00830   0.00259  -0.1030   0.7650   0.0716
  -4.500  -0.0277   0.00810   0.00235  -0.1029   0.7439   0.0811
  -4.000   0.0282   0.00791   0.00214  -0.1028   0.7220   0.0944
  -3.500   0.0838   0.00776   0.00197  -0.1026   0.6988   0.1097
  -3.000   0.1396   0.00767   0.00184  -0.1025   0.6758   0.1272
  -2.500   0.1955   0.00755   0.00173  -0.1024   0.6524   0.1503
  -2.000   0.2511   0.00748   0.00166  -0.1022   0.6284   0.1761
  -1.000   0.3623   0.00741   0.00161  -0.1020   0.5832   0.2414
  -0.500   0.4179   0.00737   0.00162  -0.1019   0.5622   0.2839
   0.000   0.4734   0.00733   0.00166  -0.1018   0.5430   0.3356
   0.500   0.5283   0.00721   0.00171  -0.1017   0.5254   0.4185
   1.000   0.5821   0.00693   0.00182  -0.1014   0.5098   0.5815
   1.500   0.6355   0.00676   0.00196  -0.1009   0.4956   0.7129
   2.000   0.6866   0.00661   0.00214  -0.0997   0.4823   0.8466
   2.500   0.7369   0.00658   0.00233  -0.0980   0.4713   0.9576
   3.000   0.8089   0.00680   0.00250  -0.1015   0.4592   0.9937
   4.000   0.9262   0.00722   0.00280  -0.1029   0.4365   1.0000
   4.500   0.9767   0.00745   0.00298  -0.1018   0.4250   1.0000
   5.000   1.0278   0.00771   0.00318  -0.1009   0.4117   1.0000
   5.500   1.0800   0.00795   0.00339  -0.1002   0.3979   1.0000
   6.000   1.1311   0.00827   0.00364  -0.0994   0.3808   1.0000
   7.000   1.2298   0.00906   0.00428  -0.0972   0.3396   1.0000
   7.500   1.2766   0.00958   0.00469  -0.0957   0.3150   1.0000
   8.000   1.3214   0.01016   0.00517  -0.0939   0.2893   1.0000
   8.500   1.3619   0.01087   0.00574  -0.0914   0.2608   1.0000
   9.000   1.3974   0.01170   0.00642  -0.0879   0.2306   1.0000
   9.500   1.4306   0.01268   0.00725  -0.0843   0.1996   1.0000
  10.000   1.4613   0.01382   0.00824  -0.0805   0.1695   1.0000
  10.500   1.4891   0.01513   0.00941  -0.0765   0.1418   1.0000
  11.000   1.5145   0.01662   0.01077  -0.0724   0.1179   1.0000
  11.500   1.5384   0.01827   0.01233  -0.0684   0.0985   1.0000
  12.000   1.5619   0.02003   0.01406  -0.0648   0.0834   1.0000
  12.500   1.5829   0.02206   0.01605  -0.0612   0.0716   1.0000
  13.000   1.6021   0.02435   0.01833  -0.0578   0.0621   1.0000
  13.500   1.6193   0.02693   0.02093  -0.0547   0.0546   1.0000
  14.000   1.6357   0.02974   0.02379  -0.0520   0.0491   1.0000
  14.500   1.6496   0.03292   0.02703  -0.0495   0.0445   1.0000
  15.000   1.6604   0.03661   0.03079  -0.0473   0.0406   1.0000
  15.500   1.6669   0.04090   0.03516  -0.0454   0.0372   1.0000
  16.000   1.6752   0.04525   0.03962  -0.0440   0.0348   1.0000
  16.500   1.6748   0.05069   0.04515  -0.0428   0.0324   1.0000
  17.000   1.6779   0.05597   0.05057  -0.0422   0.0307   1.0000
  17.500   1.6730   0.06231   0.05701  -0.0418   0.0289   1.0000
  18.000   1.6673   0.06893   0.06377  -0.0418   0.0275   1.0000
  18.500   1.6617   0.07566   0.07064  -0.0421   0.0263   1.0000
  19.000   1.6490   0.08344   0.07857  -0.0428   0.0252   1.0000
  19.500   1.6349   0.09156   0.08683  -0.0440   0.0241   1.0000
  20.000   1.6252   0.09918   0.09461  -0.0453   0.0233   1.0000
  20.500   1.6129   0.10728   0.10285  -0.0472   0.0224   1.0000
  21.000   1.5958   0.11620   0.11190  -0.0496   0.0215   1.0000
  21.500   1.5791   0.12526   0.12112  -0.0526   0.0208   1.0000
  22.000   1.5706   0.13319   0.12920  -0.0556   0.0201   1.0000
  22.500   1.5599   0.14151   0.13766  -0.0592   0.0195   1.0000
  23.000   1.5462   0.15054   0.14683  -0.0636   0.0189   1.0000
  23.500   1.5286   0.16046   0.15687  -0.0690   0.0181   1.0000
  24.000   1.5199   0.16891   0.16548  -0.0740   0.0177   1.0000
  24.500   1.5136   0.17699   0.17369  -0.0791   0.0172   1.0000
  25.000   1.5067   0.18533   0.18216  -0.0847   0.0166   1.0000
