   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  -4.500  -0.0183   0.01316   0.00605  -0.1071   0.8582   0.1230
  -4.000   0.0361   0.01257   0.00544  -0.1065   0.8407   0.1418
  -3.000   0.1455   0.01162   0.00453  -0.1055   0.8025   0.1952
  -2.500   0.1991   0.01128   0.00424  -0.1048   0.7803   0.2310
  -2.000   0.2529   0.01099   0.00400  -0.1042   0.7575   0.2752
  -1.500   0.3066   0.01071   0.00380  -0.1036   0.7345   0.3305
  -1.000   0.3591   0.01036   0.00364  -0.1028   0.7114   0.4151
  -0.500   0.4074   0.00979   0.00368  -0.1012   0.6876   0.6082
   0.000   0.4525   0.00941   0.00382  -0.0982   0.6650   0.7947
   0.500   0.5100   0.00946   0.00398  -0.0972   0.6435   0.9362
   1.000   0.6024   0.00976   0.00406  -0.1046   0.6218   0.9907
   1.500   0.6688   0.01000   0.00412  -0.1070   0.6019   1.0000
   2.000   0.7148   0.01028   0.00423  -0.1052   0.5848   1.0000
   2.500   0.7621   0.01060   0.00438  -0.1035   0.5690   1.0000
   3.000   0.8100   0.01091   0.00460  -0.1019   0.5538   1.0000
   3.500   0.8590   0.01124   0.00486  -0.1005   0.5393   1.0000
   4.000   0.9090   0.01161   0.00516  -0.0994   0.5255   1.0000
   4.500   0.9595   0.01201   0.00549  -0.0984   0.5122   1.0000
   5.000   1.0103   0.01244   0.00583  -0.0975   0.4987   1.0000
   5.500   1.0590   0.01280   0.00622  -0.0962   0.4846   1.0000
   6.000   1.1078   0.01322   0.00665  -0.0949   0.4704   1.0000
   6.500   1.1557   0.01366   0.00709  -0.0935   0.4555   1.0000
   7.000   1.2019   0.01411   0.00754  -0.0918   0.4397   1.0000
   7.500   1.2459   0.01456   0.00802  -0.0898   0.4227   1.0000
   8.000   1.2873   0.01504   0.00853  -0.0873   0.4043   1.0000
   8.500   1.3259   0.01556   0.00909  -0.0843   0.3846   1.0000
   9.000   1.3586   0.01619   0.00973  -0.0804   0.3639   1.0000
   9.500   1.3882   0.01702   0.01055  -0.0761   0.3416   1.0000
  10.000   1.4160   0.01805   0.01159  -0.0719   0.3163   1.0000
  10.500   1.4404   0.01938   0.01290  -0.0676   0.2894   1.0000
  11.000   1.4598   0.02113   0.01459  -0.0630   0.2604   1.0000
  11.500   1.4748   0.02333   0.01673  -0.0585   0.2300   1.0000
  12.000   1.4851   0.02609   0.01941  -0.0540   0.1995   1.0000
  12.500   1.4901   0.02951   0.02276  -0.0499   0.1708   1.0000
  13.000   1.4902   0.03366   0.02686  -0.0461   0.1458   1.0000
  13.500   1.4895   0.03826   0.03146  -0.0432   0.1249   1.0000
  14.000   1.4833   0.04378   0.03698  -0.0408   0.1093   1.0000
  14.500   1.4757   0.04985   0.04309  -0.0391   0.0971   1.0000
  15.000   1.4690   0.05618   0.04951  -0.0381   0.0874   1.0000
  15.500   1.4634   0.06264   0.05609  -0.0376   0.0795   1.0000
  16.000   1.4566   0.06946   0.06303  -0.0375   0.0730   1.0000
  16.500   1.4461   0.07683   0.07045  -0.0377   0.0679   1.0000
  17.000   1.4429   0.08354   0.07732  -0.0383   0.0631   1.0000
  17.500   1.4371   0.09051   0.08438  -0.0389   0.0591   1.0000
  18.000   1.4340   0.09736   0.09135  -0.0400   0.0555   1.0000
  18.500   1.4324   0.10384   0.09793  -0.0410   0.0523   1.0000
  19.000   1.4321   0.11039   0.10460  -0.0424   0.0494   1.0000
  19.500   1.4344   0.11624   0.11051  -0.0436   0.0468   1.0000
  20.000   1.4346   0.12294   0.11740  -0.0458   0.0443   1.0000
  20.500   1.4438   0.12746   0.12186  -0.0468   0.0420   1.0000
  21.000   1.4412   0.13481   0.12950  -0.0499   0.0403   1.0000
  21.500   1.4434   0.14123   0.13606  -0.0528   0.0385   1.0000
  22.000   1.4561   0.14514   0.13994  -0.0541   0.0367   1.0000
  22.500   1.4478   0.15389   0.14902  -0.0591   0.0354   1.0000
  23.000   1.4456   0.16134   0.15667  -0.0636   0.0340   1.0000
  23.500   1.4553   0.16614   0.16150  -0.0665   0.0327   1.0000
  24.000   1.4495   0.17424   0.16983  -0.0718   0.0317   1.0000
  24.500   1.4276   0.18657   0.18254  -0.0808   0.0308   1.0000
