   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  -4.500  -0.0310   0.00727   0.00189  -0.1023   0.6922   0.0709
  -4.000   0.0258   0.00715   0.00174  -0.1023   0.6697   0.0805
  -3.500   0.0823   0.00705   0.00160  -0.1023   0.6455   0.0938
  -3.000   0.1387   0.00696   0.00150  -0.1023   0.6223   0.1092
  -2.500   0.1955   0.00690   0.00142  -0.1024   0.5997   0.1259
  -2.000   0.2520   0.00684   0.00136  -0.1025   0.5772   0.1488
  -1.500   0.3086   0.00682   0.00133  -0.1025   0.5560   0.1721
  -1.000   0.3650   0.00679   0.00132  -0.1026   0.5359   0.2023
  -0.500   0.4216   0.00677   0.00134  -0.1026   0.5181   0.2357
   0.000   0.4783   0.00674   0.00137  -0.1028   0.5023   0.2744
   0.500   0.5350   0.00671   0.00141  -0.1029   0.4885   0.3198
   1.000   0.5914   0.00665   0.00147  -0.1030   0.4756   0.3838
   1.500   0.6463   0.00644   0.00157  -0.1030   0.4625   0.5248
   2.000   0.7020   0.00627   0.00169  -0.1030   0.4527   0.6464
   2.500   0.7569   0.00615   0.00183  -0.1028   0.4422   0.7618
   3.000   0.8089   0.00603   0.00201  -0.1018   0.4313   0.8859
   3.500   0.8606   0.00605   0.00218  -0.1006   0.4219   0.9730
   4.500   0.9905   0.00651   0.00251  -0.1048   0.3947   1.0000
   5.000   1.0414   0.00675   0.00268  -0.1038   0.3791   1.0000
   5.500   1.0925   0.00705   0.00290  -0.1029   0.3600   1.0000
   6.000   1.1437   0.00738   0.00314  -0.1021   0.3397   1.0000
   6.500   1.1933   0.00781   0.00345  -0.1011   0.3158   1.0000
   7.000   1.2421   0.00828   0.00381  -0.0999   0.2906   1.0000
   7.500   1.2886   0.00886   0.00424  -0.0984   0.2624   1.0000
   8.000   1.3330   0.00952   0.00474  -0.0965   0.2322   1.0000
   8.500   1.3746   0.01026   0.00532  -0.0942   0.2016   1.0000
   9.000   1.4114   0.01108   0.00598  -0.0910   0.1719   1.0000
   9.500   1.4443   0.01201   0.00676  -0.0872   0.1439   1.0000
  10.000   1.4759   0.01304   0.00765  -0.0834   0.1192   1.0000
  10.500   1.5070   0.01414   0.00864  -0.0797   0.0994   1.0000
  11.000   1.5373   0.01530   0.00973  -0.0761   0.0834   1.0000
  11.500   1.5656   0.01662   0.01098  -0.0725   0.0707   1.0000
  12.000   1.5932   0.01805   0.01238  -0.0691   0.0605   1.0000
  12.500   1.6199   0.01961   0.01392  -0.0658   0.0529   1.0000
  13.000   1.6445   0.02138   0.01570  -0.0626   0.0469   1.0000
  13.500   1.6668   0.02341   0.01774  -0.0595   0.0417   1.0000
  14.000   1.6876   0.02566   0.02002  -0.0566   0.0377   1.0000
  14.500   1.7072   0.02814   0.02255  -0.0540   0.0347   1.0000
  15.000   1.7227   0.03108   0.02554  -0.0515   0.0317   1.0000
  15.500   1.7365   0.03438   0.02890  -0.0493   0.0294   1.0000
  16.000   1.7478   0.03807   0.03268  -0.0474   0.0274   1.0000
  16.500   1.7565   0.04220   0.03689  -0.0457   0.0257   1.0000
  17.000   1.7610   0.04696   0.04174  -0.0444   0.0241   1.0000
  17.500   1.7651   0.05192   0.04681  -0.0434   0.0230   1.0000
  18.000   1.7630   0.05774   0.05272  -0.0428   0.0217   1.0000
  18.500   1.7597   0.06380   0.05891  -0.0424   0.0207   1.0000
  19.000   1.7550   0.07024   0.06547  -0.0425   0.0199   1.0000
  19.500   1.7464   0.07720   0.07255  -0.0428   0.0191   1.0000
  20.000   1.7314   0.08515   0.08063  -0.0436   0.0182   1.0000
  20.500   1.7217   0.09251   0.08813  -0.0446   0.0177   1.0000
  21.000   1.7092   0.10034   0.09610  -0.0460   0.0172   1.0000
  21.500   1.6963   0.10834   0.10423  -0.0479   0.0166   1.0000
  22.000   1.6813   0.11668   0.11269  -0.0501   0.0160   1.0000
  22.500   1.6601   0.12619   0.12235  -0.0534   0.0153   1.0000
  23.000   1.6501   0.13412   0.13041  -0.0564   0.0150   1.0000
  23.500   1.6399   0.14210   0.13853  -0.0599   0.0146   1.0000
  24.000   1.6287   0.15042   0.14697  -0.0640   0.0141   1.0000
  24.500   1.6160   0.15911   0.15579  -0.0688   0.0137   1.0000
