   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  -4.500  -0.0203   0.01051   0.00399  -0.1051   0.8209   0.1058
  -4.000   0.0344   0.01018   0.00363  -0.1047   0.8017   0.1224
  -3.500   0.0891   0.00989   0.00332  -0.1043   0.7809   0.1425
  -3.000   0.1437   0.00963   0.00308  -0.1039   0.7591   0.1681
  -2.500   0.1981   0.00942   0.00288  -0.1035   0.7364   0.1988
  -2.000   0.2524   0.00928   0.00273  -0.1030   0.7134   0.2356
  -1.000   0.3603   0.00901   0.00258  -0.1021   0.6652   0.3345
  -0.500   0.4127   0.00880   0.00255  -0.1014   0.6418   0.4216
   0.000   0.4631   0.00838   0.00264  -0.1004   0.6195   0.6063
   0.500   0.5115   0.00809   0.00279  -0.0985   0.5986   0.7688
   1.000   0.5583   0.00801   0.00300  -0.0957   0.5794   0.9135
   1.500   0.6349   0.00827   0.00317  -0.0998   0.5606   0.9826
   2.000   0.7161   0.00855   0.00330  -0.1053   0.5433   1.0000
   2.500   0.7623   0.00880   0.00343  -0.1034   0.5290   1.0000
   3.000   0.8092   0.00909   0.00359  -0.1016   0.5153   1.0000
   3.500   0.8582   0.00933   0.00378  -0.1002   0.5023   1.0000
   4.000   0.9082   0.00961   0.00401  -0.0991   0.4898   1.0000
   4.500   0.9582   0.00995   0.00428  -0.0979   0.4774   1.0000
   5.000   1.0082   0.01028   0.00456  -0.0968   0.4646   1.0000
   5.500   1.0585   0.01058   0.00486  -0.0958   0.4516   1.0000
   6.000   1.1078   0.01093   0.00521  -0.0947   0.4379   1.0000
   6.500   1.1560   0.01131   0.00557  -0.0933   0.4232   1.0000
   7.500   1.2483   0.01213   0.00637  -0.0900   0.3887   1.0000
   8.000   1.2914   0.01261   0.00684  -0.0878   0.3689   1.0000
   8.500   1.3289   0.01322   0.00740  -0.0847   0.3473   1.0000
   9.000   1.3650   0.01396   0.00810  -0.0814   0.3239   1.0000
   9.500   1.3983   0.01489   0.00896  -0.0780   0.2974   1.0000
  10.000   1.4294   0.01600   0.01001  -0.0744   0.2689   1.0000
  10.500   1.4559   0.01742   0.01132  -0.0705   0.2385   1.0000
  11.000   1.4780   0.01917   0.01296  -0.0663   0.2073   1.0000
  11.500   1.4957   0.02131   0.01499  -0.0619   0.1770   1.0000
  12.000   1.5097   0.02386   0.01744  -0.0577   0.1494   1.0000
  12.500   1.5206   0.02682   0.02034  -0.0538   0.1261   1.0000
  13.000   1.5275   0.03034   0.02381  -0.0502   0.1071   1.0000
  13.500   1.5341   0.03413   0.02762  -0.0472   0.0923   1.0000
  14.000   1.5374   0.03853   0.03206  -0.0446   0.0810   1.0000
  14.500   1.5386   0.04346   0.03706  -0.0427   0.0722   1.0000
  15.000   1.5375   0.04893   0.04263  -0.0413   0.0655   1.0000
  15.500   1.5312   0.05527   0.04907  -0.0403   0.0601   1.0000
  16.000   1.5272   0.06159   0.05552  -0.0399   0.0556   1.0000
  16.500   1.5199   0.06852   0.06259  -0.0399   0.0519   1.0000
  17.000   1.5100   0.07596   0.07016  -0.0403   0.0487   1.0000
  17.500   1.4998   0.08362   0.07798  -0.0411   0.0460   1.0000
  18.000   1.4914   0.09117   0.08567  -0.0421   0.0435   1.0000
  18.500   1.4774   0.09959   0.09420  -0.0437   0.0414   1.0000
  19.000   1.4724   0.10693   0.10172  -0.0453   0.0393   1.0000
  19.500   1.4624   0.11498   0.10987  -0.0474   0.0375   1.0000
  20.000   1.4561   0.12258   0.11761  -0.0497   0.0358   1.0000
  20.500   1.4528   0.12991   0.12509  -0.0523   0.0342   1.0000
  21.000   1.4481   0.13737   0.13262  -0.0553   0.0327   1.0000
  21.500   1.4462   0.14450   0.13990  -0.0585   0.0313   1.0000
  22.000   1.4456   0.15159   0.14713  -0.0620   0.0300   1.0000
  22.500   1.4460   0.15845   0.15406  -0.0657   0.0288   1.0000
  23.000   1.4492   0.16457   0.16026  -0.0691   0.0277   1.0000
  23.500   1.4482   0.17191   0.16780  -0.0736   0.0266   1.0000
  24.000   1.4490   0.17892   0.17491  -0.0783   0.0256   1.0000
  24.500   1.4561   0.18430   0.18030  -0.0820   0.0246   1.0000
  25.000   1.4547   0.19180   0.18799  -0.0874   0.0238   1.0000
