   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  -5.000  -0.0894   0.00698   0.00184  -0.1020   0.6757   0.0568
  -4.500  -0.0324   0.00686   0.00169  -0.1021   0.6524   0.0644
  -4.000   0.0246   0.00677   0.00156  -0.1022   0.6292   0.0731
  -3.500   0.0815   0.00669   0.00145  -0.1023   0.6064   0.0837
  -2.500   0.1956   0.00657   0.00129  -0.1025   0.5626   0.1120
  -2.000   0.2527   0.00653   0.00124  -0.1026   0.5420   0.1303
  -1.500   0.3098   0.00649   0.00121  -0.1028   0.5234   0.1516
  -1.000   0.3669   0.00646   0.00120  -0.1029   0.5063   0.1771
  -0.500   0.4240   0.00644   0.00121  -0.1031   0.4913   0.2054
   0.000   0.4811   0.00642   0.00123  -0.1033   0.4775   0.2387
   0.500   0.5382   0.00639   0.00127  -0.1035   0.4653   0.2768
   1.000   0.5952   0.00637   0.00132  -0.1037   0.4538   0.3220
   1.500   0.6519   0.00633   0.00140  -0.1039   0.4433   0.3799
   2.000   0.7079   0.00612   0.00149  -0.1041   0.4337   0.5161
   2.500   0.7640   0.00601   0.00161  -0.1042   0.4236   0.6235
   3.000   0.8197   0.00592   0.00174  -0.1042   0.4130   0.7303
   3.500   0.8741   0.00584   0.00191  -0.1039   0.4016   0.8441
   4.000   0.9241   0.00580   0.00209  -0.1025   0.3883   0.9490
   4.500   0.9825   0.00602   0.00227  -0.1030   0.3708   0.9923
   5.000   1.0477   0.00633   0.00248  -0.1052   0.3500   1.0000
   5.500   1.0976   0.00666   0.00270  -0.1041   0.3290   1.0000
   6.000   1.1475   0.00706   0.00298  -0.1031   0.3033   1.0000
   6.500   1.1972   0.00749   0.00329  -0.1020   0.2790   1.0000
   7.000   1.2453   0.00802   0.00367  -0.1007   0.2503   1.0000
   7.500   1.2921   0.00860   0.00410  -0.0993   0.2218   1.0000
   8.000   1.3367   0.00928   0.00461  -0.0975   0.1909   1.0000
   8.500   1.3786   0.01005   0.00520  -0.0952   0.1599   1.0000
   9.000   1.4182   0.01081   0.00581  -0.0925   0.1345   1.0000
   9.500   1.4527   0.01163   0.00651  -0.0889   0.1119   1.0000
  10.000   1.4864   0.01253   0.00730  -0.0853   0.0923   1.0000
  10.500   1.5203   0.01346   0.00815  -0.0820   0.0775   1.0000
  11.500   1.5857   0.01552   0.01011  -0.0756   0.0569   1.0000
  12.000   1.6164   0.01672   0.01128  -0.0724   0.0494   1.0000
  12.500   1.6454   0.01807   0.01262  -0.0692   0.0434   1.0000
  13.000   1.6735   0.01954   0.01410  -0.0662   0.0389   1.0000
  13.500   1.6991   0.02125   0.01581  -0.0632   0.0350   1.0000
  14.000   1.7229   0.02317   0.01776  -0.0603   0.0318   1.0000
  15.000   1.7644   0.02777   0.02244  -0.0549   0.0269   1.0000
  15.500   1.7822   0.03053   0.02525  -0.0525   0.0250   1.0000
  16.000   1.7965   0.03373   0.02851  -0.0503   0.0233   1.0000
  16.500   1.8085   0.03733   0.03217  -0.0484   0.0219   1.0000
  17.000   1.8185   0.04130   0.03622  -0.0468   0.0208   1.0000
  17.500   1.8238   0.04588   0.04089  -0.0454   0.0196   1.0000
  18.000   1.8283   0.05074   0.04584  -0.0444   0.0187   1.0000
  18.500   1.8281   0.05624   0.05143  -0.0437   0.0178   1.0000
  19.000   1.8243   0.06231   0.05761  -0.0432   0.0170   1.0000
  19.500   1.8205   0.06848   0.06390  -0.0432   0.0164   1.0000
  20.000   1.8116   0.07543   0.07095  -0.0434   0.0157   1.0000
  20.500   1.7984   0.08298   0.07862  -0.0440   0.0150   1.0000
  21.000   1.7895   0.09014   0.08591  -0.0450   0.0146   1.0000
  21.500   1.7771   0.09779   0.09369  -0.0463   0.0142   1.0000
  22.000   1.7620   0.10596   0.10197  -0.0481   0.0136   1.0000
  22.500   1.7447   0.11450   0.11064  -0.0504   0.0131   1.0000
  23.000   1.7335   0.12234   0.11861  -0.0529   0.0129   1.0000
  23.500   1.7220   0.13027   0.12666  -0.0559   0.0125   1.0000
  24.000   1.7093   0.13850   0.13501  -0.0595   0.0122   1.0000
  24.500   1.6964   0.14690   0.14352  -0.0637   0.0118   1.0000
  25.000   1.6798   0.15599   0.15273  -0.0687   0.0113   1.0000
