   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  -4.500  -0.0382   0.00549   0.00118  -0.1016   0.4544   0.0386
  -4.000   0.0209   0.00541   0.00110  -0.1021   0.4435   0.0432
  -3.500   0.0798   0.00535   0.00104  -0.1025   0.4320   0.0481
  -3.000   0.1391   0.00527   0.00098  -0.1030   0.4253   0.0545
  -2.500   0.1980   0.00522   0.00093  -0.1035   0.4143   0.0623
  -2.000   0.2574   0.00515   0.00089  -0.1040   0.4092   0.0706
  -1.500   0.3162   0.00513   0.00088  -0.1045   0.3971   0.0802
  -1.000   0.3753   0.00509   0.00086  -0.1050   0.3890   0.0918
  -0.500   0.4339   0.00510   0.00087  -0.1054   0.3756   0.1046
   0.000   0.4922   0.00511   0.00088  -0.1058   0.3600   0.1232
   0.500   0.5504   0.00515   0.00093  -0.1062   0.3448   0.1391
   1.000   0.6083   0.00522   0.00098  -0.1066   0.3288   0.1555
   1.500   0.6660   0.00530   0.00104  -0.1069   0.3113   0.1779
   2.000   0.7233   0.00538   0.00112  -0.1072   0.2941   0.2027
   2.500   0.7800   0.00552   0.00123  -0.1073   0.2736   0.2230
   3.000   0.8360   0.00570   0.00136  -0.1074   0.2477   0.2532
   3.500   0.8916   0.00590   0.00152  -0.1074   0.2253   0.2788
   4.500   1.0012   0.00637   0.00191  -0.1071   0.1740   0.3517
   5.000   1.0555   0.00662   0.00212  -0.1070   0.1532   0.3946
   5.500   1.1092   0.00683   0.00236  -0.1067   0.1313   0.4682
   6.000   1.1620   0.00713   0.00264  -0.1063   0.1108   0.5216
   6.500   1.2152   0.00739   0.00290  -0.1060   0.0950   0.5713
   7.000   1.2670   0.00772   0.00322  -0.1054   0.0778   0.6265
   7.500   1.3190   0.00800   0.00353  -0.1050   0.0667   0.6856
   8.000   1.3698   0.00830   0.00388  -0.1043   0.0558   0.7576
   8.500   1.4205   0.00855   0.00423  -0.1036   0.0474   0.8465
   9.000   1.4689   0.00878   0.00461  -0.1024   0.0411   0.9535
   9.500   1.5169   0.00912   0.00497  -0.1012   0.0361   1.0000
  10.000   1.5646   0.00957   0.00537  -0.1000   0.0313   1.0000
  10.500   1.6106   0.01001   0.00577  -0.0985   0.0277   1.0000
  11.000   1.6531   0.01050   0.00622  -0.0964   0.0243   1.0000
  11.500   1.6904   0.01102   0.00672  -0.0932   0.0220   1.0000
  12.000   1.7293   0.01155   0.00723  -0.0905   0.0205   1.0000
  12.500   1.7656   0.01222   0.00788  -0.0876   0.0181   1.0000
  13.000   1.8023   0.01290   0.00855  -0.0848   0.0170   1.0000
  13.500   1.8367   0.01373   0.00935  -0.0819   0.0152   1.0000
  14.000   1.8712   0.01456   0.01019  -0.0792   0.0148   1.0000
  14.500   1.9017   0.01565   0.01127  -0.0760   0.0134   1.0000
  15.000   1.9323   0.01676   0.01239  -0.0731   0.0126   1.0000
  15.500   1.9603   0.01811   0.01374  -0.0702   0.0119   1.0000
  16.000   1.9845   0.01971   0.01535  -0.0669   0.0109   1.0000
  16.500   2.0095   0.02140   0.01706  -0.0642   0.0105   1.0000
  17.000   2.0321   0.02330   0.01898  -0.0614   0.0102   1.0000
  17.500   2.0513   0.02560   0.02130  -0.0586   0.0096   1.0000
  18.000   2.0664   0.02832   0.02406  -0.0559   0.0089   1.0000
  18.500   2.0822   0.03118   0.02695  -0.0536   0.0085   1.0000
  19.000   2.0972   0.03425   0.03006  -0.0517   0.0083   1.0000
  19.500   2.1044   0.03814   0.03400  -0.0497   0.0081   1.0000
  20.000   2.1104   0.04229   0.03820  -0.0479   0.0077   1.0000
  20.500   2.1105   0.04718   0.04316  -0.0465   0.0073   1.0000
  21.000   2.1088   0.05242   0.04846  -0.0454   0.0068   1.0000
  21.500   2.1079   0.05770   0.05381  -0.0446   0.0068   1.0000
  22.000   2.0999   0.06382   0.06002  -0.0441   0.0067   1.0000
  22.500   2.0926   0.06999   0.06626  -0.0439   0.0066   1.0000
  23.000   2.0754   0.07739   0.07376  -0.0441   0.0065   1.0000
  23.500   2.0600   0.08469   0.08114  -0.0446   0.0062   1.0000
  24.000   2.0352   0.09329   0.08985  -0.0458   0.0060   1.0000
  24.500   2.0167   0.10117   0.09782  -0.0472   0.0057   1.0000
