   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  -4.500  -0.0380   0.00551   0.00118  -0.1016   0.4605   0.0394
  -4.000   0.0208   0.00545   0.00111  -0.1020   0.4453   0.0440
  -3.500   0.0799   0.00537   0.00104  -0.1025   0.4381   0.0494
  -3.000   0.1390   0.00531   0.00098  -0.1030   0.4273   0.0556
  -2.500   0.1980   0.00525   0.00094  -0.1035   0.4201   0.0634
  -2.000   0.2571   0.00519   0.00090  -0.1040   0.4103   0.0716
  -1.500   0.3163   0.00515   0.00088  -0.1045   0.4041   0.0808
  -1.000   0.3752   0.00512   0.00086  -0.1050   0.3926   0.0952
  -0.500   0.4336   0.00513   0.00088  -0.1054   0.3783   0.1083
   0.000   0.4921   0.00513   0.00089  -0.1058   0.3676   0.1251
   0.500   0.5506   0.00516   0.00092  -0.1062   0.3544   0.1401
   1.000   0.6086   0.00521   0.00096  -0.1066   0.3389   0.1609
   1.500   0.6661   0.00528   0.00103  -0.1069   0.3213   0.1839
   2.000   0.7231   0.00540   0.00113  -0.1071   0.3006   0.2050
   2.500   0.7800   0.00553   0.00123  -0.1073   0.2788   0.2303
   3.000   0.8363   0.00568   0.00135  -0.1074   0.2586   0.2589
   3.500   0.8917   0.00589   0.00151  -0.1074   0.2317   0.2887
   4.000   0.9465   0.00614   0.00171  -0.1073   0.2064   0.3196
   4.500   1.0015   0.00634   0.00189  -0.1072   0.1844   0.3610
   5.000   1.0553   0.00660   0.00212  -0.1069   0.1584   0.4149
   6.000   1.1620   0.00709   0.00263  -0.1063   0.1177   0.5423
   6.500   1.2142   0.00742   0.00293  -0.1058   0.0968   0.5945
   7.000   1.2664   0.00771   0.00323  -0.1054   0.0831   0.6511
   7.500   1.3178   0.00801   0.00356  -0.1048   0.0684   0.7165
   8.000   1.3690   0.00828   0.00390  -0.1041   0.0589   0.7962
   8.500   1.4186   0.00855   0.00429  -0.1033   0.0493   0.8932
   9.000   1.4654   0.00880   0.00467  -0.1017   0.0418   0.9962
   9.500   1.5149   0.00922   0.00503  -0.1008   0.0366   1.0000
  10.000   1.5625   0.00966   0.00543  -0.0996   0.0320   1.0000
  10.500   1.6078   0.01012   0.00584  -0.0980   0.0280   1.0000
  11.000   1.6493   0.01061   0.00630  -0.0956   0.0251   1.0000
  11.500   1.6873   0.01112   0.00679  -0.0926   0.0229   1.0000
  12.000   1.7257   0.01169   0.00733  -0.0899   0.0208   1.0000
  12.500   1.7620   0.01236   0.00798  -0.0870   0.0189   1.0000
  13.000   1.7986   0.01305   0.00867  -0.0842   0.0175   1.0000
  13.500   1.8322   0.01392   0.00952  -0.0812   0.0158   1.0000
  14.000   1.8665   0.01478   0.01037  -0.0785   0.0150   1.0000
  14.500   1.8973   0.01586   0.01145  -0.0754   0.0139   1.0000
  15.000   1.9267   0.01706   0.01266  -0.0724   0.0127   1.0000
  15.500   1.9552   0.01839   0.01399  -0.0695   0.0122   1.0000
  16.000   1.9792   0.02004   0.01565  -0.0663   0.0114   1.0000
  16.500   2.0032   0.02180   0.01743  -0.0635   0.0105   1.0000
  17.000   2.0264   0.02369   0.01935  -0.0608   0.0104   1.0000
  17.500   2.0463   0.02596   0.02164  -0.0582   0.0099   1.0000
  18.000   2.0601   0.02882   0.02454  -0.0554   0.0093   1.0000
  18.500   2.0751   0.03177   0.02751  -0.0531   0.0085   1.0000
  19.000   2.0877   0.03510   0.03089  -0.0512   0.0084   1.0000
  19.500   2.0977   0.03874   0.03458  -0.0493   0.0082   1.0000
  20.000   2.1019   0.04316   0.03906  -0.0477   0.0079   1.0000
  20.500   2.1036   0.04786   0.04382  -0.0462   0.0075   1.0000
  21.000   2.0995   0.05341   0.04944  -0.0452   0.0071   1.0000
  21.500   2.0972   0.05882   0.05492  -0.0444   0.0068   1.0000
  22.000   2.0892   0.06501   0.06120  -0.0440   0.0068   1.0000
  22.500   2.0813   0.07129   0.06755  -0.0439   0.0067   1.0000
  23.000   2.0661   0.07847   0.07483  -0.0441   0.0066   1.0000
  23.500   2.0524   0.08560   0.08205  -0.0447   0.0064   1.0000
  24.000   2.0279   0.09418   0.09073  -0.0459   0.0062   1.0000
  24.500   2.0096   0.10206   0.09870  -0.0474   0.0060   1.0000Z
