   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  -5.000  -0.0890   0.00708   0.00189  -0.1020   0.6844   0.0579
  -4.000   0.0248   0.00685   0.00159  -0.1022   0.6380   0.0747
  -3.500   0.0817   0.00677   0.00148  -0.1023   0.6150   0.0859
  -3.000   0.1387   0.00670   0.00139  -0.1024   0.5926   0.0994
  -2.500   0.1955   0.00665   0.00132  -0.1025   0.5706   0.1152
  -2.000   0.2525   0.00660   0.00127  -0.1026   0.5496   0.1340
  -1.500   0.3094   0.00657   0.00124  -0.1027   0.5302   0.1562
  -1.000   0.3664   0.00654   0.00123  -0.1028   0.5127   0.1819
  -0.500   0.4234   0.00651   0.00123  -0.1030   0.4970   0.2117
   0.000   0.4804   0.00649   0.00126  -0.1032   0.4831   0.2459
   0.500   0.5374   0.00647   0.00130  -0.1034   0.4700   0.2855
   1.000   0.5942   0.00644   0.00136  -0.1035   0.4586   0.3333
   1.500   0.6509   0.00637   0.00143  -0.1037   0.4478   0.4004
   2.000   0.7066   0.00615   0.00153  -0.1038   0.4377   0.5449
   2.500   0.7624   0.00605   0.00166  -0.1039   0.4275   0.6518
   3.500   0.8715   0.00585   0.00196  -0.1033   0.4063   0.8795
   4.000   0.9201   0.00588   0.00215  -0.1015   0.3935   0.9700
   4.500   0.9860   0.00612   0.00232  -0.1038   0.3765   0.9968
   5.000   1.0464   0.00641   0.00252  -0.1049   0.3565   1.0000
   5.500   1.0966   0.00673   0.00274  -0.1039   0.3363   1.0000
   6.000   1.1465   0.00712   0.00301  -0.1028   0.3114   1.0000
   6.500   1.1962   0.00756   0.00332  -0.1018   0.2870   1.0000
   7.000   1.2445   0.00807   0.00369  -0.1005   0.2594   1.0000
   7.500   1.2912   0.00865   0.00413  -0.0991   0.2304   1.0000
   8.000   1.3358   0.00932   0.00463  -0.0972   0.2003   1.0000
   8.500   1.3776   0.01009   0.00522  -0.0950   0.1688   1.0000
   9.000   1.4159   0.01089   0.00586  -0.0920   0.1417   1.0000
   9.500   1.4504   0.01171   0.00656  -0.0884   0.1186   1.0000
  10.000   1.4836   0.01266   0.00738  -0.0848   0.0974   1.0000
  10.500   1.5169   0.01362   0.00826  -0.0814   0.0818   1.0000
  11.000   1.5493   0.01466   0.00924  -0.0781   0.0692   1.0000
  11.500   1.5811   0.01576   0.01030  -0.0749   0.0596   1.0000
  12.000   1.6109   0.01702   0.01153  -0.0716   0.0515   1.0000
  12.500   1.6398   0.01840   0.01290  -0.0685   0.0452   1.0000
  13.000   1.6669   0.01995   0.01445  -0.0654   0.0404   1.0000
  13.500   1.6928   0.02166   0.01618  -0.0625   0.0365   1.0000
  14.000   1.7162   0.02363   0.01818  -0.0596   0.0331   1.0000
  14.500   1.7375   0.02587   0.02045  -0.0568   0.0303   1.0000
  15.000   1.7563   0.02841   0.02303  -0.0542   0.0280   1.0000
  15.500   1.7725   0.03133   0.02600  -0.0518   0.0259   1.0000
  16.000   1.7853   0.03473   0.02946  -0.0496   0.0240   1.0000
  16.500   1.7987   0.03824   0.03305  -0.0479   0.0228   1.0000
  17.000   1.8058   0.04255   0.03744  -0.0463   0.0213   1.0000
  17.500   1.8128   0.04701   0.04199  -0.0450   0.0203   1.0000
  18.000   1.8132   0.05236   0.04743  -0.0440   0.0192   1.0000
  18.500   1.8150   0.05769   0.05287  -0.0434   0.0184   1.0000
  19.000   1.8112   0.06382   0.05910  -0.0431   0.0176   1.0000
  19.500   1.8041   0.07044   0.06584  -0.0431   0.0168   1.0000
  20.000   1.7971   0.07719   0.07271  -0.0435   0.0163   1.0000
  20.500   1.7856   0.08458   0.08022  -0.0442   0.0157   1.0000
  21.000   1.7709   0.09254   0.08830  -0.0453   0.0149   1.0000
  21.500   1.7601   0.10005   0.09594  -0.0467   0.0147   1.0000
  22.000   1.7475   0.10792   0.10394  -0.0485   0.0141   1.0000
  22.500   1.7319   0.11629   0.11242  -0.0509   0.0137   1.0000
  23.500   1.7046   0.13286   0.12925  -0.0570   0.0129   1.0000
  24.000   1.6941   0.14082   0.13733  -0.0606   0.0126   1.0000
  24.500   1.6828   0.14904   0.14567  -0.0647   0.0122   1.0000
  25.000   1.6691   0.15770   0.15445  -0.0696   0.0118   1.0000
