   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  -4.000  -0.4292   0.04316   0.03565  -0.0384   0.9857   0.2070
  -3.500  -0.3483   0.03696   0.02852  -0.0476   0.9641   0.2239
  -3.000  -0.2731   0.03379   0.02511  -0.0537   0.9421   0.2483
  -2.500  -0.2050   0.03158   0.02236  -0.0583   0.9209   0.2804
  -2.000  -0.1463   0.03049   0.02112  -0.0609   0.9000   0.3191
  -1.500  -0.0893   0.02988   0.02056  -0.0628   0.8801   0.3701
  -1.000  -0.0357   0.02969   0.02055  -0.0639   0.8611   0.4385
  -0.500   0.0128   0.02994   0.02125  -0.0638   0.8430   0.5396
   0.000   0.0401   0.02992   0.02238  -0.0584   0.8269   0.7383
   0.500   0.1021   0.03177   0.02383  -0.0622   0.8097   1.0000
   1.000   0.1410   0.03457   0.02613  -0.0626   0.7937   1.0000
   1.500   0.1784   0.03762   0.02882  -0.0628   0.7785   1.0000
   2.000   0.2184   0.04082   0.03174  -0.0632   0.7639   1.0000
   2.500   0.2540   0.04431   0.03503  -0.0631   0.7500   1.0000
   3.500   0.4405   0.05675   0.04616  -0.0774   0.7205   1.0000
   4.000   0.4727   0.06001   0.04934  -0.0769   0.7047   1.0000
   4.500   0.5055   0.06341   0.05270  -0.0765   0.6890   1.0000
   5.000   0.5391   0.06693   0.05620  -0.0761   0.6729   1.0000
   5.500   0.5739   0.07058   0.05986  -0.0760   0.6568   1.0000
   6.000   0.6102   0.07433   0.06362  -0.0759   0.6404   1.0000
   6.500   0.6006   0.08017   0.06954  -0.0737   0.6294   1.0000
   7.000   0.6169   0.08526   0.07469  -0.0731   0.6163   1.0000
   7.500   0.6171   0.09203   0.08157  -0.0731   0.6166   1.0000
   8.000   0.6692   0.09522   0.08482  -0.0730   0.5855   1.0000
  -5.000  -0.5062   0.06382   0.05702  -0.0302   1.0000   0.2021
  -4.500  -0.4765   0.05525   0.04779  -0.0348   1.0000   0.2002
  -4.000  -0.4340   0.04802   0.03934  -0.0397   1.0000   0.2057
  -3.500  -0.3582   0.04460   0.03527  -0.0471   0.9875   0.2237
  -3.000  -0.2691   0.04275   0.03316  -0.0557   0.9661   0.2518
  -2.500  -0.1871   0.04139   0.03143  -0.0624   0.9442   0.2885
  -2.000  -0.1027   0.04065   0.03048  -0.0691   0.9239   0.3408
  -1.500  -0.0428   0.04019   0.03014  -0.0712   0.9019   0.4024
  -1.000   0.0211   0.04003   0.03035  -0.0734   0.8816   0.4993
  -0.500   0.0697   0.03936   0.03099  -0.0710   0.8631   0.7155
   0.000   0.1408   0.04006   0.03137  -0.0749   0.8425   1.0000
   0.500   0.1972   0.04186   0.03261  -0.0771   0.8236   1.0000
   1.000   0.2484   0.04381   0.03417  -0.0784   0.8052   1.0000
   1.500   0.2948   0.04593   0.03598  -0.0790   0.7874   1.0000
   2.000   0.3359   0.04829   0.03811  -0.0790   0.7701   1.0000
   2.500   0.3731   0.05088   0.04052  -0.0786   0.7533   1.0000
   3.000   0.4078   0.05370   0.04321  -0.0781   0.7367   1.0000
   3.500   0.4405   0.05675   0.04616  -0.0774   0.7205   1.0000
   4.000   0.4727   0.06001   0.04934  -0.0769   0.7047   1.0000
   4.500   0.5055   0.06341   0.05270  -0.0765   0.6890   1.0000
   5.000   0.5391   0.06693   0.05620  -0.0761   0.6729   1.0000
   5.500   0.5739   0.07058   0.05986  -0.0760   0.6568   1.0000
   6.000   0.6102   0.07433   0.06362  -0.0759   0.6404   1.0000
   6.500   0.6006   0.08017   0.06954  -0.0737   0.6294   1.0000
   7.000   0.6169   0.08526   0.07469  -0.0731   0.6163   1.0000
   7.500   0.6171   0.09203   0.08157  -0.0731   0.6166   1.0000
   8.000   0.6692   0.09522   0.08482  -0.0730   0.5855   1.0000
