   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  -4.500  -0.0313   0.00717   0.00184  -0.1022   0.6843   0.0696
  -4.000   0.0253   0.00706   0.00169  -0.1023   0.6609   0.0794
  -3.000   0.1389   0.00687   0.00146  -0.1024   0.6149   0.1065
  -2.500   0.1955   0.00682   0.00138  -0.1024   0.5916   0.1240
  -2.000   0.2521   0.00678   0.00133  -0.1025   0.5690   0.1443
  -1.500   0.3089   0.00673   0.00130  -0.1026   0.5492   0.1689
  -1.000   0.3656   0.00670   0.00129  -0.1027   0.5302   0.1977
  -0.500   0.4224   0.00668   0.00130  -0.1028   0.5128   0.2291
   0.000   0.4790   0.00667   0.00133  -0.1029   0.4968   0.2664
   0.500   0.5356   0.00665   0.00138  -0.1030   0.4825   0.3112
   1.000   0.5924   0.00659   0.00144  -0.1032   0.4709   0.3687
   1.500   0.6480   0.00639   0.00152  -0.1033   0.4594   0.4937
   2.000   0.7033   0.00624   0.00165  -0.1032   0.4474   0.6200
   2.500   0.7589   0.00610   0.00178  -0.1032   0.4386   0.7327
   3.000   0.8121   0.00600   0.00195  -0.1026   0.4272   0.8532
   3.500   0.8614   0.00595   0.00212  -0.1008   0.4179   0.9577
   4.000   0.9263   0.00613   0.00228  -0.1028   0.4061   0.9935
   4.500   0.9928   0.00638   0.00245  -0.1053   0.3911   1.0000
   5.000   1.0433   0.00663   0.00262  -0.1042   0.3744   1.0000
   5.500   1.0944   0.00692   0.00283  -0.1033   0.3551   1.0000
   6.000   1.1449   0.00730   0.00309  -0.1024   0.3327   1.0000
   6.500   1.1947   0.00772   0.00340  -0.1014   0.3089   1.0000
   7.000   1.2430   0.00822   0.00377  -0.1001   0.2822   1.0000
   7.500   1.2903   0.00876   0.00418  -0.0987   0.2550   1.0000
   8.000   1.3349   0.00942   0.00468  -0.0969   0.2250   1.0000
   8.500   1.3765   0.01017   0.00527  -0.0946   0.1939   1.0000
   9.000   1.4137   0.01099   0.00592  -0.0915   0.1646   1.0000
   9.500   1.4465   0.01191   0.00669  -0.0876   0.1370   1.0000
  10.000   1.4789   0.01290   0.00755  -0.0839   0.1137   1.0000
  10.500   1.5104   0.01396   0.00851  -0.0803   0.0948   1.0000
  11.000   1.5399   0.01516   0.00962  -0.0765   0.0789   1.0000
  11.500   1.5700   0.01637   0.01078  -0.0732   0.0676   1.0000
  12.000   1.5986   0.01773   0.01212  -0.0698   0.0583   1.0000
  12.500   1.6256   0.01925   0.01361  -0.0666   0.0511   1.0000
  13.000   1.6512   0.02094   0.01531  -0.0634   0.0453   1.0000
  13.500   1.6744   0.02288   0.01727  -0.0604   0.0405   1.0000
  14.000   1.6951   0.02511   0.01952  -0.0574   0.0364   1.0000
  14.500   1.7144   0.02758   0.02203  -0.0547   0.0334   1.0000
  15.000   1.7320   0.03031   0.02482  -0.0522   0.0308   1.0000
  15.500   1.7440   0.03370   0.02826  -0.0498   0.0281   1.0000
  16.000   1.7587   0.03705   0.03169  -0.0479   0.0265   1.0000
  16.500   1.7651   0.04135   0.03607  -0.0461   0.0246   1.0000
  17.000   1.7739   0.04564   0.04046  -0.0448   0.0235   1.0000
  17.500   1.7769   0.05063   0.04553  -0.0437   0.0222   1.0000
  18.000   1.7749   0.05639   0.05140  -0.0430   0.0209   1.0000
  18.500   1.7744   0.06212   0.05724  -0.0426   0.0201   1.0000
  19.000   1.7694   0.06848   0.06372  -0.0425   0.0193   1.0000
  19.500   1.7579   0.07579   0.07116  -0.0428   0.0183   1.0000
  20.000   1.7481   0.08301   0.07851  -0.0434   0.0177   1.0000
  20.500   1.7386   0.09033   0.08596  -0.0443   0.0172   1.0000
  21.000   1.7268   0.09794   0.09370  -0.0456   0.0166   1.0000
  21.500   1.7096   0.10651   0.10240  -0.0475   0.0160   1.0000
  22.000   1.6907   0.11538   0.11141  -0.0498   0.0153   1.0000
  22.500   1.6808   0.12310   0.11925  -0.0523   0.0150   1.0000
  23.000   1.6696   0.13114   0.12743  -0.0553   0.0146   1.0000
  23.500   1.6550   0.13977   0.13619  -0.0589   0.0141   1.0000
  24.000   1.6414   0.14838   0.14492  -0.0631   0.0137   1.0000
  24.500   1.6270   0.15731   0.15398  -0.0678   0.0132   1.0000
