   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  -4.500  -0.0979   0.08129   0.06493  -0.0151   1.0000   0.9126
  -4.000  -0.0703   0.07623   0.05982  -0.0204   1.0000   0.9454
  -3.500  -0.0026   0.06965   0.05291  -0.0366   1.0000   1.0000
  -3.000  -0.0198   0.06740   0.05083  -0.0340   1.0000   1.0000
  -2.500  -0.0423   0.06506   0.04866  -0.0312   1.0000   1.0000
  -2.000  -0.0719   0.06245   0.04625  -0.0279   1.0000   1.0000
  -1.500  -0.1113   0.05929   0.04334  -0.0239   1.0000   1.0000
  -1.000  -0.1620   0.05522   0.03951  -0.0193   1.0000   1.0000
  -0.500  -0.1513   0.05310   0.03591  -0.0254   1.0000   1.0000
   0.000  -0.1110   0.05421   0.03540  -0.0290   1.0000   1.0000
   0.500  -0.0750   0.05583   0.03584  -0.0303   1.0000   1.0000
   1.000  -0.0407   0.05771   0.03680  -0.0311   1.0000   1.0000
   1.500  -0.0074   0.05982   0.03816  -0.0316   1.0000   1.0000
   2.000   0.0251   0.06213   0.03983  -0.0321   1.0000   1.0000
   2.500   0.0569   0.06464   0.04181  -0.0326   1.0000   1.0000
   3.000   0.0881   0.06734   0.04407  -0.0331   1.0000   1.0000
   3.500   0.1186   0.07023   0.04660  -0.0337   1.0000   1.0000
   4.000   0.1485   0.07332   0.04939  -0.0344   1.0000   1.0000
   4.500   0.1777   0.07660   0.05244  -0.0351   1.0000   1.0000
   5.000   0.2062   0.08008   0.05574  -0.0359   1.0000   1.0000
   5.500   0.2340   0.08375   0.05928  -0.0368   1.0000   1.0000
   6.000   0.2610   0.08762   0.06308  -0.0377   1.0000   1.0000
   6.500   0.2873   0.09167   0.06710  -0.0388   1.0000   1.0000
   7.000   0.3129   0.09592   0.07136  -0.0399   1.0000   1.0000
   7.500   0.3377   0.10035   0.07584  -0.0412   1.0000   1.0000
   8.000   0.3619   0.10496   0.08054  -0.0426   1.0000   1.0000
   8.500   0.3854   0.10974   0.08543  -0.0441   1.0000   1.0000
   9.000   0.4082   0.11470   0.09054  -0.0457   1.0000   1.0000
   9.500   0.4305   0.11981   0.09583  -0.0475   1.0000   1.0000
  10.000   0.4523   0.12509   0.10129  -0.0494   1.0000   1.0000
  10.500   0.4736   0.13052   0.10695  -0.0515   1.0000   1.0000
  11.000   0.4945   0.13610   0.11274  -0.0537   1.0000   1.0000
  11.500   0.5151   0.14182   0.11872  -0.0561   1.0000   1.0000
  12.000   0.5353   0.14769   0.12484  -0.0587   1.0000   1.0000
  12.500   0.5553   0.15370   0.13112  -0.0615   1.0000   1.0000
  13.000   0.5751   0.15986   0.13756  -0.0644   1.0000   1.0000
  13.500   0.5946   0.16615   0.14412  -0.0675   1.0000   1.0000
  14.000   0.6140   0.17259   0.15083  -0.0707   1.0000   1.0000
  14.500   0.6333   0.17916   0.15770  -0.0742   1.0000   1.0000
  15.000   0.6526   0.18588   0.16468  -0.0777   1.0000   1.0000
  15.500   0.6718   0.19272   0.17181  -0.0814   1.0000   1.0000
  16.000   0.7102   0.20418   0.18367  -0.0903   0.9736   1.0000
  16.500   0.7450   0.21355   0.19339  -0.0979   0.9352   1.0000
  17.000   0.7750   0.22155   0.20172  -0.1038   0.8974   1.0000
  17.500   0.8023   0.22931   0.20973  -0.1089   0.8625   1.0000
  18.000   0.8277   0.23669   0.21738  -0.1134   0.8301   1.0000
  18.500   0.8540   0.24558   0.22650  -0.1181   0.7990   1.0000
  19.000   0.8812   0.25547   0.23665  -0.1227   0.7674   1.0000
  19.500   0.8983   0.25836   0.23970  -0.1256   0.7420   1.0000
  20.000   0.9252   0.26928   0.25085  -0.1301   0.7140   1.0000
  20.500   0.9427   0.27333   0.25503  -0.1332   0.6913   1.0000
  21.000   0.9619   0.27847   0.26037  -0.1366   0.6676   1.0000
  21.500   0.9845   0.28715   0.26923  -0.1405   0.6444   1.0000
  22.500   1.0255   0.30296   0.28536  -0.1481   0.6044   1.0000
  23.000   1.0430   0.30805   0.29060  -0.1516   0.5858   1.0000
  23.500   1.0614   0.31431   0.29703  -0.1553   0.5679   1.0000
  24.000   1.0797   0.32094   0.30380  -0.1591   0.5503   1.0000
  24.500   1.0988   0.32882   0.31184  -0.1630   0.5332   1.0000
