   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  -5.000  -0.1565   0.02280   0.01448  -0.0976   0.8978   0.1276
  -4.500  -0.0735   0.02118   0.01293  -0.1025   0.8914   0.1471
  -4.000  -0.0110   0.02006   0.01175  -0.1033   0.8764   0.1696
  -3.500   0.0511   0.01890   0.01071  -0.1041   0.8617   0.1971
  -3.000   0.1135   0.01786   0.00976  -0.1048   0.8467   0.2328
  -2.500   0.1748   0.01694   0.00891  -0.1051   0.8305   0.2786
  -2.000   0.2330   0.01604   0.00821  -0.1049   0.8125   0.3357
  -1.500   0.2879   0.01509   0.00763  -0.1042   0.7930   0.4177
  -1.000   0.3372   0.01403   0.00738  -0.1021   0.7729   0.6141
   0.000   0.4943   0.01339   0.00714  -0.1068   0.7324   0.9822
   0.500   0.5719   0.01346   0.00690  -0.1115   0.7102   1.0000
   1.000   0.6158   0.01369   0.00689  -0.1094   0.6889   1.0000
   1.500   0.6622   0.01400   0.00698  -0.1076   0.6692   1.0000
   2.000   0.7098   0.01436   0.00715  -0.1059   0.6510   1.0000
   2.500   0.7585   0.01478   0.00740  -0.1045   0.6338   1.0000
   3.000   0.8083   0.01523   0.00772  -0.1033   0.6175   1.0000
   3.500   0.8593   0.01572   0.00808  -0.1023   0.6020   1.0000
   4.000   0.9118   0.01622   0.00845  -0.1016   0.5870   1.0000
   4.500   0.9610   0.01675   0.00896  -0.1004   0.5713   1.0000
   5.000   1.0097   0.01734   0.00955  -0.0991   0.5557   1.0000
   5.500   1.0585   0.01795   0.01016  -0.0978   0.5401   1.0000
   6.000   1.1073   0.01857   0.01080  -0.0966   0.5244   1.0000
   6.500   1.1558   0.01918   0.01142  -0.0953   0.5084   1.0000
   7.000   1.2035   0.01977   0.01204  -0.0938   0.4917   1.0000
   7.500   1.2494   0.02035   0.01265  -0.0920   0.4740   1.0000
   8.000   1.2929   0.02089   0.01324  -0.0898   0.4551   1.0000
   8.500   1.3340   0.02141   0.01380  -0.0872   0.4352   1.0000
   9.000   1.3722   0.02192   0.01436  -0.0842   0.4146   1.0000
   9.500   1.4076   0.02249   0.01492  -0.0807   0.3934   1.0000
  10.000   1.4296   0.02324   0.01585  -0.0751   0.3700   1.0000
  10.500   1.4465   0.02411   0.01677  -0.0688   0.3466   1.0000
  11.000   1.4586   0.02546   0.01819  -0.0625   0.3209   1.0000
  11.500   1.4673   0.02730   0.01999  -0.0564   0.2939   1.0000
  12.000   1.4700   0.02984   0.02256  -0.0507   0.2648   1.0000
  12.500   1.4680   0.03319   0.02590  -0.0455   0.2349   1.0000
  13.000   1.4613   0.03743   0.03012  -0.0410   0.2060   1.0000
  13.500   1.4513   0.04249   0.03515  -0.0374   0.1801   1.0000
  14.000   1.4389   0.04825   0.04077  -0.0346   0.1590   1.0000
  14.500   1.4306   0.05420   0.04678  -0.0327   0.1400   1.0000
  15.000   1.4238   0.06026   0.05286  -0.0314   0.1251   1.0000
  15.500   1.4202   0.06618   0.05879  -0.0304   0.1128   1.0000
  16.000   1.4200   0.07181   0.06447  -0.0296   0.1026   1.0000
  16.500   1.4231   0.07713   0.06981  -0.0290   0.0941   1.0000
  17.000   1.4334   0.08141   0.07400  -0.0280   0.0864   1.0000
  17.500   1.4316   0.08785   0.08074  -0.0285   0.0805   1.0000
  18.000   1.4407   0.09253   0.08549  -0.0281   0.0753   1.0000
  18.500   1.4437   0.09828   0.09141  -0.0288   0.0707   1.0000
  19.000   1.4496   0.10362   0.09691  -0.0291   0.0669   1.0000
  19.500   1.4413   0.11139   0.10500  -0.0314   0.0637   1.0000
  20.000   1.4559   0.11533   0.10894  -0.0315   0.0604   1.0000
  20.500   1.4243   0.12743   0.12159  -0.0372   0.0588   1.0000
  21.000   1.3926   0.14026   0.13487  -0.0442   0.0573   1.0000
  22.000   1.3638   0.16023   0.15525  -0.0559   0.0538   1.0000
  23.000   0.7083   0.23672   0.23287  -0.0744   0.0789   1.0000
  23.500   0.7137   0.24304   0.23922  -0.0765   0.0764   1.0000
  24.000   0.7151   0.24870   0.24493  -0.0794   0.0705   1.0000
  24.500   0.7388   0.25496   0.25124  -0.0789   0.0686   1.0000
  25.000   0.7219   0.26096   0.25727  -0.0845   0.0633   1.0000
