   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
 -10.000  -0.6222   0.01368   0.00918  -0.1077   0.9645   0.0174
  -9.500  -0.5726   0.01242   0.00779  -0.1070   0.9549   0.0186
  -9.000  -0.5211   0.01175   0.00701  -0.1062   0.9422   0.0197
  -8.500  -0.4683   0.01121   0.00636  -0.1056   0.9281   0.0208
  -8.000  -0.4154   0.01040   0.00547  -0.1052   0.9156   0.0226
  -7.500  -0.3605   0.00993   0.00491  -0.1050   0.9034   0.0242
  -7.000  -0.3058   0.00935   0.00424  -0.1048   0.8901   0.0264
  -6.500  -0.2503   0.00900   0.00381  -0.1046   0.8751   0.0288
  -6.000  -0.1949   0.00854   0.00329  -0.1045   0.8594   0.0323
  -5.500  -0.1390   0.00820   0.00287  -0.1043   0.8426   0.0361
  -5.000  -0.0829   0.00793   0.00253  -0.1043   0.8238   0.0410
  -4.500  -0.0269   0.00768   0.00222  -0.1042   0.8041   0.0472
  -3.500   0.0852   0.00724   0.00172  -0.1040   0.7605   0.0692
  -3.000   0.1411   0.00711   0.00154  -0.1039   0.7363   0.0846
  -2.500   0.1971   0.00697   0.00140  -0.1039   0.7115   0.1070
  -1.500   0.3088   0.00680   0.00124  -0.1038   0.6588   0.1695
  -1.000   0.3645   0.00675   0.00121  -0.1037   0.6323   0.2116
  -0.500   0.4200   0.00671   0.00121  -0.1036   0.6058   0.2630
   0.000   0.4757   0.00666   0.00125  -0.1036   0.5813   0.3285
   0.500   0.5304   0.00643   0.00131  -0.1036   0.5576   0.4722
   1.000   0.5837   0.00602   0.00145  -0.1033   0.5369   0.7034
   1.500   0.6299   0.00563   0.00163  -0.1008   0.5187   0.9359
   2.000   0.7006   0.00577   0.00172  -0.1040   0.5008   1.0000
   2.500   0.7548   0.00597   0.00184  -0.1036   0.4855   1.0000
   3.000   0.8092   0.00619   0.00197  -0.1033   0.4710   1.0000
   3.500   0.8637   0.00641   0.00213  -0.1031   0.4566   1.0000
   4.000   0.9180   0.00665   0.00231  -0.1028   0.4415   1.0000
   4.500   0.9723   0.00690   0.00250  -0.1025   0.4246   1.0000
   5.000   1.0262   0.00718   0.00272  -0.1022   0.4033   1.0000
   5.500   1.0787   0.00754   0.00297  -0.1017   0.3773   1.0000
   6.000   1.1300   0.00799   0.00330  -0.1010   0.3461   1.0000
   6.500   1.1795   0.00855   0.00370  -0.1001   0.3072   1.0000
   7.000   1.2258   0.00934   0.00425  -0.0986   0.2588   1.0000
   7.500   1.2688   0.01034   0.00496  -0.0966   0.2020   1.0000
   8.000   1.3083   0.01153   0.00582  -0.0941   0.1447   1.0000
   8.500   1.3463   0.01273   0.00675  -0.0914   0.1005   1.0000
   9.000   1.3845   0.01379   0.00766  -0.0887   0.0720   1.0000
   9.500   1.4201   0.01481   0.00858  -0.0856   0.0544   1.0000
  10.000   1.4522   0.01583   0.00955  -0.0818   0.0431   1.0000
  10.500   1.4836   0.01692   0.01063  -0.0781   0.0357   1.0000
  11.000   1.5142   0.01810   0.01182  -0.0746   0.0305   1.0000
  11.500   1.5435   0.01939   0.01316  -0.0712   0.0267   1.0000
  12.000   1.5690   0.02098   0.01479  -0.0675   0.0237   1.0000
  12.500   1.5944   0.02266   0.01654  -0.0642   0.0216   1.0000
  13.000   1.6155   0.02476   0.01872  -0.0608   0.0196   1.0000
  13.500   1.6366   0.02698   0.02103  -0.0578   0.0182   1.0000
  14.000   1.6480   0.03015   0.02429  -0.0545   0.0166   1.0000
  14.500   1.6655   0.03300   0.02726  -0.0522   0.0159   1.0000
  15.000   1.6777   0.03650   0.03089  -0.0500   0.0150   1.0000
  15.500   1.6828   0.04092   0.03542  -0.0480   0.0142   1.0000
  16.000   1.6822   0.04627   0.04093  -0.0466   0.0134   1.0000
  16.500   1.6874   0.05127   0.04608  -0.0458   0.0129   1.0000
  17.000   1.6874   0.05708   0.05205  -0.0454   0.0124   1.0000
  17.500   1.6823   0.06372   0.05885  -0.0455   0.0120   1.0000
  18.000   1.6709   0.07144   0.06673  -0.0462   0.0116   1.0000
  18.500   1.6487   0.08087   0.07635  -0.0475   0.0111   1.0000
  19.000   1.6296   0.09013   0.08581  -0.0493   0.0109   1.0000
  19.500   1.6156   0.09882   0.09469  -0.0514   0.0107   1.0000
  20.000   1.5996   0.10803   0.10408  -0.0539   0.0104   1.0000
  20.500   1.5818   0.11763   0.11386  -0.0571   0.0102   1.0000
  21.000   1.5632   0.12765   0.12406  -0.0609   0.0100   1.0000
  21.500   1.5443   0.13793   0.13452  -0.0654   0.0098   1.0000
  22.000   1.5265   0.14828   0.14504  -0.0705   0.0096   1.0000
  22.500   1.5084   0.15899   0.15590  -0.0764   0.0093   1.0000
  23.000   1.4878   0.17051   0.16758  -0.0833   0.0091   1.0000
  23.500   1.4668   0.18242   0.17966  -0.0910   0.0089   1.0000
  24.000   1.4516   0.19350   0.19089  -0.0987   0.0086   1.0000
  24.500   1.4425   0.20359   0.20113  -0.1060   0.0085   1.0000
  25.000   1.4321   0.21422   0.21192  -0.1140   0.0083   1.0000
